k_percent,n_selected,actual_non_pass_selected,precision_at_k,recall_at_k,lift_at_k
1,127,32,0.25196850393700787,0.033542976939203356,3.352184750491094
5,635,156,0.24566929133858267,0.16352201257861634,3.268380131728817
10,1269,267,0.21040189125295508,0.279874213836478,2.799183232476421
20,2538,444,0.17494089834515367,0.46540880503144655,2.3274107775646646
25,3173,520,0.16388276079420108,0.5450733752620545,2.1802935010482183
100,12692,954,0.07516545855657107,1.0,1.0
