feature,coefficient,abs_coefficient
prev_non_pass,-0.6391056536621997,0.6391056536621997
prev_total_infractions,0.4887095974462831,0.4887095974462831
prior_365d_total_infractions,0.44213574028145775,0.44213574028145775
prior_365d_n_non_pass,0.24527524344680807,0.24527524344680807
prev_significant,-0.14281428760607062,0.14281428760607062
prev_crucial,-0.129836980441535,0.129836980441535
prior_365d_n_inspections,-0.0713089122713625,0.0713089122713625
prev_minor,-0.06340926009183086,0.06340926009183086
n_inspections_seen_so_far,-0.052290473316921375,0.052290473316921375
days_since_previous_inspection,0.04071547501814962,0.04071547501814962
prior_365d_crucial_infractions,0.010960504634205412,0.010960504634205412
