split,pr_auc,roc_auc,precision,recall,f1,accuracy,threshold
majority_baseline_test,,,0.0,0.0,0.0,0.924988055422838,
validation,0.11666664907214558,0.639454679468425,0.15051903114186851,0.25290697674418605,0.18872017353579176,,0.6
test,0.13266028004808741,0.6458942859398853,0.15449915110356535,0.2318471337579618,0.18543046357615894,0.8472049689440994,0.6
