oldEstId,n_distinct_estId,same_name_normalized,same_address_normalized,same_location_within_100m,time_ranges_sequential_non_overlapping,names_raw,addresses_raw
10322079,2,True,True,True,False,TIM HORTONS,"1801 Eglinton Ave W Unit-100 M6E 2H8 ; 1801 EGLINTON AVE W, Unit-100 None M6E 2H8"
10322381,2,True,True,True,False,PIZZERIA LIBRETTO,221 Ossington Ave None M6J 2Z8 ; 221 OSSINGTON AVE None M6J 2Z8
10325036,2,True,True,True,False,PETITE THUET,1162 Yonge St None M4W 2L9 ; 1162 YONGE ST None M4W 2L9
10326205,2,True,True,True,False,GHAROA RESTAURANT,2994A Danforth Ave None M4C 1M7 ; 2994A DANFORTH AVE None M4C 1M7
10328143,2,True,False,True,False,MARTINGROVE FISH & CHIPS,5 Lavington Dr 5 M9R 2H1 ; 5 LAVINGTON DR None M9R 2H1
10329938,2,True,True,True,False,METRO,3142 Yonge St None M4N 2K6 ; 3142 YONGE ST None M4N 2K6
10330614,2,True,True,True,False,HAPPY DAY'S RESTAURANT & BAR,1802 Danforth Ave None M4C 1H8 ; 1802 DANFORTH AVE None M4C 1H8
10332179,2,True,True,True,False,PHO HUONG TRANG,3370 Keele St None M3J 1L5 ; 3370 KEELE ST None M3J 1L5
10349866,2,True,True,True,False,YUMMY LUNCH CAFE,185 Bridgeland Ave None M6A 1Y7 ; 185 BRIDGELAND AVE None M6A 1Y7
10350692,2,True,True,True,False,THE CHEF UPSTAIRS,516 Mount Pleasant Rd None M4S 2M2 ; 516 MOUNT PLEASANT RD None M4S 2M2
10351712,2,True,True,True,False,VIENNA MEATS AND DELICATESSEN,1050 Birchmount Rd None M1K 1S4 ; 1050 BIRCHMOUNT RD None M1K 1S4
10351903,2,True,True,True,False,KFC/TACO BELL,6364 Yonge St None M2M 3W2 ; 6364 YONGE ST None M2M 3W2
10352007,2,True,True,True,False,CAKE HOUSE BAKERY,1969 Finch Ave W None M3N 2V3 ; 1969 FINCH AVE W None M3N 2V3
10355345,2,True,True,True,False,CHINA COTTAGE,"5985 Steeles Ave E Unit-2-3 M1V 5P6 ; 5985 STEELES AVE E, Unit-2-3 None M1V 5P6"
10357813,2,True,True,True,False,NICK'S NO FRILLS,3850 Sheppard Ave E None M1T 3L4 ; 3850 SHEPPARD AVE E None M1T 3L4
10358804,2,True,True,True,False,PIZZA HUT,4936 Yonge St None M2N 6S3 ; 4936 YONGE ST None M2N 6S3
10360384,2,True,True,True,False,IKEA,1475 The Queensway None M8Z 1T3 ; 1475 THE QUEENSWAY None M8Z 1T3
10362576,2,True,True,True,False,KFC,"1 Eglinton Sq Unit-151 M1L 2K1 ; 1 EGLINTON SQ, Unit-151 None M1L 2K1"
10364753,2,True,True,True,False,KOTHUR INDIAN CUISINE,649 Yonge St None M4Y 1Z9 ; 649 YONGE ST None M4Y 1Z9
10369058,2,True,True,True,False,MILLENIUM BAKE HOUSE,"501 Passmore Ave Unit-21 M1V 5G4 ; 501 PASSMORE AVE, Unit-21 None M1V 5G4"
10369735,2,True,True,True,False,CANADIAN TIRE GAS +,1015 Sheppard Ave E None M2K 1C2 ; 1015 SHEPPARD AVE E None M2K 1C2
10370592,2,True,True,True,False,BEAST,96 Tecumseth St None M6J 2H1 ; 96 TECUMSETH ST None M6J 2H1
10373783,2,True,True,True,False,HONEY B HIVES,2816 Markham Rd None M1X 1E6 ; 2816 MARKHAM RD None M1X 1E6
10374744,2,True,True,True,False,HAIDA SANDWICH,"15 Northtown Way Unit-21 M2N 7A2 ; 15 NORTHTOWN WAY, Unit-21 None M2N 7A2"
10374748,2,True,True,True,False,Z. TECA GOURMET BURRITOS,"4700 Keele St Unit-4 M3J 1P3 ; 4700 KEELE ST, Unit-4 None M3J 1P3"
10378727,2,True,True,True,False,FINCH ALNESS VARIETY,1052 Finch Ave W None M3J 2E2 ; 1052 FINCH AVE W None M3J 2E2
10379160,2,True,True,True,False,9 STAR FOODS,1771 Albion Rd None M9W 5S7 ; 1771 ALBION RD None M9W 5S7
10379376,2,True,True,True,False,ROWE FARMS,2230 Bloor St W None M6S 1N6 ; 2230 BLOOR ST W None M6S 1N6
10380081,2,True,True,True,False,OLA RESTAURANT & CATERING SERVICES,1552 Jane St None M9N 2R5 ; 1552 JANE ST None M9N 2R5
10382808,2,True,True,True,False,ESSO,1195 Danforth Ave None M4J 1M7 ; 1195 DANFORTH AVE None M4J 1M7
10384417,2,True,True,True,False,FOOD BASICS #631,853 Jane St None M6N 4C4 ; 853 JANE ST None M6N 4C4
10385409,2,True,True,True,False,THE ROYAL CHINESE RESTAURANT,3587 Sheppard Ave E None M1T 3K8 ; 3587 SHEPPARD AVE E None M1T 3K8
10386659,2,True,True,True,False,PLANK ROAD MARKET,1716 Danforth Ave None M4C 1H8 ; 1716 DANFORTH AVE None M4C 1H8
10386776,2,False,True,True,False,INCHEON HOUSE KOREAN & JAPANESE RESTAURANT ; IN CHEON HOUSE KOREAN & JAPANESE RESTAURANT,9 Glen Watford Dr None M1S 2B7 ; 9 GLEN WATFORD DR None M1S 2B7
10388615,2,True,True,True,False,SHELL,909 Wilson Ave None M3K 1E6 ; 909 WILSON AVE None M3K 1E6
10388999,2,True,True,True,False,THE ABBOTT,99 Spencer Ave None M6K 2J7 ; 99 SPENCER AVE None M6K 2J7
10389310,2,True,True,True,False,DOMINO'S PIZZA,1200 Weston Rd None M6M 4P4 ; 1200 WESTON RD None M6M 4P4
10389350,2,True,True,True,False,O'SOLE MIO RESTAURANT & BAR,437 Rogers Rd None M6M 1A4 ; 437 ROGERS RD None M6M 1A4
10394199,2,True,True,True,False,POPEYES LOUISIANA KITCHEN,3070 Don Mills Rd E None M2J 3C1 ; 3070 DON MILLS RD E None M2J 3C1
10396573,2,True,True,True,False,BOLET'S BURRITO,134 Lower Sherbourne St None M5A 4J4 ; 134 LOWER SHERBOURNE ST None M5A 4J4
10396748,2,True,True,True,False,MONARCH TAVERN,12 Clinton St None M6J 2N8 ; 12 CLINTON ST None M6J 2N8
10398144,2,True,True,True,False,TIANJIN DUMPLING RESTAURANT,4192 Sheppard Ave E None M1S 1T3 ; 4192 SHEPPARD AVE E None M1S 1T3
10398520,2,True,True,True,False,LICKADEE SPLIT ICE CREAM SHOPPE,980 Coxwell Ave None M4C 3G5 ; 980 COXWELL AVE None M4C 3G5
10400114,2,False,True,True,False,HARVEY'S RESTAURANT #2206 ; HARVEY'S/SWISS CHALET,1791 Avenue Rd None M5M 3Z3 ; 1791 AVENUE RD None M5M 3Z3
10402943,2,True,True,True,False,IYAPPA SWEETS & SNACKS,2721 Markham Rd None M1X 1L5 ; 2721 MARKHAM RD None M1X 1L5
10403292,2,True,True,True,False,ICE 'N CAKE,1090 Don Mills Rd None M3C 3R6 ; 1090 DON MILLS RD None M3C 3R6
10404439,2,True,True,True,False,YORK U - TIM HORTONS WILLIAM SMALL CENTRE,4700 Keele St None M3J 1P3 ; 4700 KEELE ST None M3J 1P3
10406893,2,True,True,True,False,MVR CASH AND CARRY,3655 Weston Rd None M9L 1V8 ; 3655 WESTON RD None M9L 1V8
10411778,2,True,True,True,False,PIZZA PIZZA,471 Yonge St None M4Y 1X4 ; 471 YONGE ST None M4Y 1X4
10413899,2,True,True,True,False,KEVINS BAKERY,743 Garyray Dr None M9L 1R2 ; 743 GARYRAY DR None M9L 1R2
10420422,2,True,True,True,False,ROSS CONVENIENCE & GROCERS,3932 Keele St None M3J 1N8 ; 3932 KEELE ST None M3J 1N8
10421811,2,True,True,True,False,STOP N GO TROPICAL GRILL,1668 Weston Rd None M9N 1V4 ; 1668 WESTON RD None M9N 1V4
10422127,2,False,True,True,False,CREAM & SUGAR STOP AND GO ; CREAM AND SUGAR STOP & GO,5 Fairview Mall Dr None M2J 2Z1 ; 5 FAIRVIEW MALL DR None M2J 2Z1
10423232,2,True,True,True,False,BALA SUPERMARKET,1474 Queen St W None M6K 1M4 ; 1474 QUEEN ST W None M6K 1M4
10423377,2,True,True,True,False,PATISSERIE 27,401 Jane St None M6S 3Z6 ; 401 JANE ST None M6S 3Z6
10425649,2,True,False,True,False,OM INDIAN FOOD CENTRE,"3300 Mcnicoll Ave #REF! M1V 5J6 ; 3300 MCNICOLL AVE, - B6 None M1V 5J6"
10429215,2,True,True,True,False,TIM HORTONS,4200 Sheppard Ave E None M1S 1T3 ; 4200 SHEPPARD AVE E None M1S 1T3
10430127,2,True,True,True,False,T-BUDS,3343 Yonge St None M4N 2M6 ; 3343 YONGE ST None M4N 2M6
10431163,2,True,True,True,False,New Northern Dumplings,"633 Silver Star Blvd Unit-120 M1V 5N1 ; 633 SILVER STAR BLVD, Unit-120 None M1V 5N1"
10433552,2,True,True,True,False,THAI EXPRESS,2 Bloor St E None M4W 1A8 ; 2 BLOOR ST E None M4W 1A8
10433831,2,True,True,True,False,LARA'S RESTAURANT,"155 Consumers Rd Unit-106 M2J 0A3 ; 155 CONSUMERS RD, Unit-106 None M2J 0A3"
10435706,2,True,True,True,False,KOREAN CANADIAN CULTURE CENTRE KITCHEN,1133 Leslie St None M3C 2J6 ; 1133 LESLIE ST None M3C 2J6
10439791,2,True,True,True,False,CAFFE DEMETRE,400 Danforth Ave None M4K 1P3 ; 400 DANFORTH AVE None M4K 1P3
10440869,2,True,True,True,False,DOMINO'S PIZZA,820 Sheppard Ave W None M3H 2T1 ; 820 SHEPPARD AVE W None M3H 2T1
10448295,2,True,True,True,False,THE ISLANDS CARIBBEAN RESTAURANT,4700 Keele St None M3J 1P3 ; 4700 KEELE ST None M3J 1P3
10449414,2,True,True,True,False,METRO,600 Sheppard Ave W None M3H 2S1 ; 600 SHEPPARD AVE W None M3H 2S1
10449620,2,True,True,True,False,BAR HOP,391 King St W None M5V 1K1 ; 391 KING ST W None M5V 1K1
10449670,2,True,True,True,False,FIVE GUYS BURGERS & FRIES,329 Yonge St None M5B 1R7 ; 329 YONGE ST None M5B 1R7
10451188,2,True,True,True,False,SAN LORENZO CHURCH,2981 Dufferin St None M6B 3T4 ; 2981 DUFFERIN ST None M6B 3T4
10453640,2,True,True,True,False,SIMONE MARIE BELGIAN CHOCOLATE,"4242 Dundas St W Unit-10 M8X 1Y6 ; 4242 DUNDAS ST W, Unit-10 None M8X 1Y6"
10454400,2,True,True,True,False,GERHARD'S CAFE,"1085 Bellamy Rd N 1 M1H 3C7 ; 1085 BELLAMY RD N, Unit-1 None M1H 3C7"
10454481,2,True,True,True,False,CIRCLE K,4751 Leslie St None M2J 2K8 ; 4751 LESLIE ST None M2J 2K8
10454914,2,False,True,True,False,HOLY KIMCHI ; SAKURA - YORK LANES,"4700 Keele St Unit-12-13 M3J 1P3 ; 4700 KEELE ST, Unit-12-13 None M3J 1P3"
10459168,2,True,True,True,False,AARUSHA CAKE HOUSE,"5215 Finch Ave E Unit-228 M1S 0C2 ; 5215 FINCH AVE E, Unit-228 None M1S 0C2"
10460141,2,True,True,True,False,Raani Fast Food,"3600 Ellesmere Rd Unit-10 M1C 4Y8 ; 3600 ELLESMERE RD, Unit-10 None M1C 4Y8"
10461434,2,True,True,True,False,Royal Paan,2654 Islington Ave None M9V 2X5 ; 2654 ISLINGTON AVE None M9V 2X5
